species,common_name,use,region,notes
# Curated plantable trees for the contiguous United States (lower 48).
# Same five columns and same contract as tree_species_list.csv: `species` is
# the only column the pipeline reads, the rest are for humans, and a row is a
# product decision about what the advisory may recommend.
#
# INCLUSION RULE. A name is on this list when it is a TREE (single-stemmed
# woody plant reaching roughly 6 m or more at maturity) AND at least one of:
#   1. it is a dominant or co-dominant native canopy tree of one of the eight
#      major forest regions of the lower 48 -- northern hardwood, central
#      broadleaf, southeastern coastal plain, bottomland hardwood, boreal
#      transition, Rocky Mountain montane, Pacific coastal, and the oak
#      woodland / riparian systems of the arid interior and California;
#   2. it is a standard street, park, campus or yard tree offered by
#      mainstream US nurseries, native or not, including the naturalised
#      Eurasian and East Asian trees that dominate US urban canopy;
#   3. it is a commercially grown orchard, nut or plantation tree of the
#      lower 48.
#
# DELIBERATE EXCLUSIONS, for the same reason the France list excludes them:
#   - shrubs and understorey woody plants, however well recorded. GBIF's
#     most-recorded US woody plants include Toxicodendron radicans, Rubus and
#     Vaccinium; nobody asks a planting advisory whether to plant poison ivy.
#   - Alaskan, Hawaiian and Puerto Rican endemics -- the modelling extent is
#     the lower 48, so a tree that only grows outside it cannot be recommended.
#   - species known in the US only from botanic gardens and arboreta.
#
# Naturalised and invasive trees (Ailanthus, Melia, Triadica, Elaeagnus) are
# INCLUDED on purpose: the model has to know where they grow to be able to
# recommend against them, and they are a large part of the eastern US record.
#
# ── oaks: the single most important US genus for this advisory ──
Quercus alba,White oak,native_woodland,north_america,
Quercus rubra,Northern red oak,street_park,north_america,
Quercus velutina,Black oak,native_woodland,north_america,
Quercus coccinea,Scarlet oak,street_park,north_america,
Quercus palustris,Pin oak,street_park,north_america,
Quercus phellos,Willow oak,street_park,north_america,
Quercus macrocarpa,Bur oak,street_park,north_america,
Quercus bicolor,Swamp white oak,street_park,north_america,
Quercus stellata,Post oak,native_woodland,north_america,
Quercus marilandica,Blackjack oak,native_woodland,north_america,
Quercus falcata,Southern red oak,native_woodland,north_america,
Quercus nigra,Water oak,native_woodland,north_america,
Quercus laurifolia,Laurel oak,street_park,north_america,
Quercus virginiana,Southern live oak,street_park,north_america,
Quercus shumardii,Shumard oak,street_park,north_america,
Quercus michauxii,Swamp chestnut oak,native_woodland,north_america,
Quercus montana,Chestnut oak,native_woodland,north_america,
Quercus muehlenbergii,Chinkapin oak,native_woodland,north_america,
Quercus lyrata,Overcup oak,native_woodland,north_america,
Quercus texana,Nuttall oak,street_park,north_america,
Quercus imbricaria,Shingle oak,native_woodland,north_america,
Quercus ellipsoidalis,Northern pin oak,native_woodland,north_america,
Quercus gambelii,Gambel oak,native_woodland,north_america,
Quercus agrifolia,Coast live oak,native_woodland,north_america,
Quercus lobata,Valley oak,native_woodland,north_america,
Quercus douglasii,Blue oak,native_woodland,north_america,
Quercus kelloggii,California black oak,native_woodland,north_america,
Quercus chrysolepis,Canyon live oak,native_woodland,north_america,
Quercus wislizeni,Interior live oak,native_woodland,north_america,
Quercus garryana,Oregon white oak,native_woodland,north_america,
Quercus laevis,Turkey oak,native_woodland,north_america,
Quercus incana,Bluejack oak,native_woodland,north_america,
Quercus acutissima,Sawtooth oak,street_park,asia,naturalised in the US
Quercus robur,English oak,street_park,europe,planted in the US
# ── maples ──
Acer saccharum,Sugar maple,street_park,north_america,
Acer rubrum,Red maple,street_park,north_america,
Acer saccharinum,Silver maple,street_park,north_america,
Acer negundo,Box elder,native_woodland,north_america,
Acer nigrum,Black maple,native_woodland,north_america,
Acer macrophyllum,Bigleaf maple,native_woodland,north_america,
Acer circinatum,Vine maple,native_woodland,north_america,
Acer pensylvanicum,Striped maple,native_woodland,north_america,
Acer spicatum,Mountain maple,native_woodland,north_america,
Acer glabrum,Rocky Mountain maple,native_woodland,north_america,
Acer platanoides,Norway maple,street_park,europe,naturalised in the US
Acer palmatum,Japanese maple,ornamental,asia,
