species,common_name,use,region,notes
# Curated plantable trees for mainland Spain and the Balearic Islands.
# Same five columns and same contract as tree_species_list.csv: `species` is
# the only column the pipeline reads, the rest are for humans.
#
# INCLUSION RULE. A name is on this list when it is a TREE (single-stemmed
# woody plant reaching roughly 6 m or more at maturity) AND at least one of:
#   1. it is a dominant or characteristic native tree of one of Spain's four
#      biogeographic zones -- Mediterranean evergreen woodland and dehesa,
#      the Eurosiberian Atlantic north, the sub-Mediterranean and montane
#      pine and fir belts, and the riparian corridors that cross all of them;
#   2. it is a standard Spanish street, plaza, paseo or park tree, native or
#      not, including the Australian and American species that make up much of
#      the urban canopy of Madrid, Barcelona, Valencia and Seville;
#   3. it is a commercially grown orchard, nut or plantation tree of mainland
#      Spain -- which for Spain is a large category, since olive, almond,
#      citrus, carob and fig are landscape-scale land uses, not garden plants.
#
# DELIBERATE EXCLUSIONS:
#   - the maquis and garrigue SHRUBS that dominate the Spanish GBIF record --
#     Cistus, Rosmarinus, Erica, Genista, Thymus, Ulex. They are the most
#     recorded woody plants in Spain and none of them is a plantable tree.
#   - Canary Island endemics -- Pinus canariensis, Phoenix canariensis as a
#     wild taxon, Dracaena draco, the laurisilva laurels. The modelling extent
#     is mainland Spain plus the Balearics, and a subtropical Atlantic island
#     tree cannot be recommended from a peninsular climate surface. Phoenix
#     canariensis is kept, but as a PLANTED street tree of the mainland coast,
#     which is what it is there.
#   - North African species known in Spain only from Ceuta and Melilla.
#
# ── evergreen oaks and the dehesa ──
Quercus ilex,Holm oak,native_woodland,europe,
Quercus rotundifolia,Encina,native_woodland,europe,dehesa dominant
Quercus suber,Cork oak,timber,europe,cork
Quercus coccifera,Kermes oak,native_woodland,europe,
# ── deciduous and marcescent oaks ──
Quercus faginea,Portuguese oak,native_woodland,europe,
Quercus pyrenaica,Pyrenean oak,native_woodland,europe,
Quercus robur,Pedunculate oak,native_woodland,europe,
Quercus petraea,Sessile oak,native_woodland,europe,
Quercus pubescens,Downy oak,native_woodland,europe,
Quercus canariensis,Algerian oak,native_woodland,europe,despite the name a mainland Iberian tree
Quercus rubra,Northern red oak,street_park,north_america,planted in Spain
# ── pines: the backbone of Spanish forestry ──
Pinus halepensis,Aleppo pine,timber,europe,
Pinus pinea,Stone pine,fruit_nut,europe,pine nuts
Pinus pinaster,Maritime pine,timber,europe,resin and timber
Pinus nigra,Black pine,timber,europe,
Pinus sylvestris,Scots pine,timber,europe,
Pinus uncinata,Mountain pine,native_woodland,europe,Pyrenean treeline
Pinus radiata,Monterey pine,timber,north_america,plantation in the Basque Country
Pinus mugo,Dwarf mountain pine,native_woodland,europe,
# ── other conifers ──
Abies alba,Silver fir,timber,europe,
Abies pinsapo,Spanish fir,native_woodland,europe,Andalusian endemic
Juniperus thurifera,Spanish juniper,native_woodland,europe,
